Year for temperature difference,Annual temp difference (°C),Annual temp difference smooth (°C),Year.Month for CO2,CO2 (ppm),Year for Arctic sea ice extent,Arctic sea ice extent (million square km),Person ID number,Gender,Daily fruit/veggies,Daily stress (0-5),Number of close friends,Number of social interactions per day,Sleeping hours
1880.0,-0.16,-0.09,1958.03.01,314.62,1979.0,7.05,10001.0,Female,3.0,2.0,5.0,5.0,7.0
1881.0,-0.08,-0.12,1958.04.01,315.29,1980.0,7.67,10002.0,Female,2.0,3.0,3.0,10.0,8.0
1882.0,-0.1,-0.16,1958.05.01,314.71,1981.0,7.14,10003.0,Female,2.0,3.0,4.0,10.0,8.0
1883.0,-0.16,-0.19,1958.06.01,314.85,1982.0,7.3,10004.0,Female,3.0,3.0,3.0,7.0,5.0
1884.0,-0.28,-0.23,1958.07.01,314.98,1983.0,7.39,10005.0,Female,5.0,1.0,3.0,4.0,7.0
1885.0,-0.32,-0.25,1958.08.01,315.94,1984.0,6.81,10006.0,Female,3.0,2.0,9.0,10.0,8.0
1886.0,-0.3,-0.26,1958.09.01,315.91,1985.0,6.7,10007.0,Male,4.0,2.0,6.0,10.0,7.0
1887.0,-0.35,-0.26,1958.10.01,315.61,1986.0,7.41,10008.0,Female,3.0,4.0,3.0,7.0,6.0
1888.0,-0.16,-0.26,1958.11.01,315.31,1987.0,7.28,10009.0,Female,5.0,3.0,4.0,3.0,10.0
1889.0,-0.1,-0.25,1958.12.01,315.61,1988.0,7.37,10010.0,Female,4.0,4.0,6.0,10.0,6.0
1890.0,-0.35,-0.25,1959.01.01,315.7,1989.0,7.01,10011.0,Female,2.0,4.0,7.0,1.0,8.0
1891.0,-0.22,-0.25,1959.02.01,315.88,1990.0,6.14,10012.0,Male,1.0,4.0,8.0,2.0,7.0
1892.0,-0.27,-0.26,1959.03.01,315.62,1991.0,6.47,10013.0,Male,2.0,2.0,5.0,8.0,8.0
1893.0,-0.31,-0.26,1959.04.01,315.56,1992.0,7.47,10014.0,Female,5.0,3.0,3.0,6.0,6.0
1894.0,-0.3,-0.23,1959.05.01,315.5,1993.0,6.4,10015.0,Female,3.0,3.0,3.0,5.0,8.0
1895.0,-0.22,-0.22,1959.06.01,315.92,1994.0,7.14,10016.0,Female,3.0,3.0,4.0,10.0,6.0
1896.0,-0.11,-0.2,1959.07.01,315.66,1995.0,6.08,10017.0,Male,4.0,2.0,4.0,10.0,8.0
1897.0,-0.11,-0.18,1959.08.01,315.81,1996.0,7.58,10018.0,Male,4.0,2.0,10.0,10.0,8.0
1898.0,-0.26,-0.16,1959.09.01,316.55,1997.0,6.69,10019.0,Female,5.0,3.0,7.0,5.0,9.0
1899.0,-0.17,-0.17,1959.10.01,316.19,1998.0,6.54,10020.0,Male,3.0,1.0,10.0,6.0,8.0
1900.0,-0.08,-0.2,1959.11.01,316.78,1999.0,6.12,10021.0,Male,2.0,4.0,8.0,5.0,4.0
1901.0,-0.15,-0.23,1959.12.01,316.52,2000.0,6.25,10022.0,Female,3.0,5.0,4.0,3.0,7.0
1902.0,-0.28,-0.26,1960.01.01,316.51,2001.0,6.73,10023.0,Male,5.0,2.0,6.0,10.0,7.0
1903.0,-0.37,-0.28,1960.02.01,316.47,2002.0,5.83,10024.0,Male,2.0,2.0,10.0,10.0,7.0
1904.0,-0.47,-0.31,1960.03.01,316.49,2003.0,6.12,10025.0,Female,2.0,4.0,10.0,5.0,6.0
1905.0,-0.26,-0.34,1960.04.01,316.86,2004.0,5.98,10026.0,Male,1.0,5.0,3.0,5.0,7.0
1906.0,-0.22,-0.36,1960.05.01,317.24,2005.0,5.5,10027.0,Male,1.0,4.0,2.0,3.0,7.0
1907.0,-0.39,-0.37,1960.06.01,317.36,2006.0,5.86,10028.0,Female,2.0,4.0,3.0,7.0,7.0
1908.0,-0.43,-0.39,1960.07.01,317.3,2007.0,4.27,10029.0,Female,3.0,4.0,4.0,10.0,6.0
1909.0,-0.48,-0.41,1960.08.01,316.92,2008.0,4.69,10030.0,Female,4.0,2.0,3.0,2.0,7.0
1910.0,-0.43,-0.41,1960.09.01,316.87,2009.0,5.26,10031.0,Male,5.0,3.0,3.0,5.0,7.0
1911.0,-0.44,-0.39,1960.10.01,316.76,2010.0,4.87,10032.0,Female,3.0,1.0,5.0,10.0,8.0
1912.0,-0.36,-0.35,1960.11.01,316.98,2011.0,4.56,10033.0,Female,0.0,5.0,3.0,8.0,6.0
1913.0,-0.34,-0.32,1960.12.01,317.13,2012.0,3.57,10034.0,Female,1.0,3.0,3.0,3.0,8.0
1914.0,-0.15,-0.31,1961.01.01,317.03,2013.0,5.21,10035.0,Male,4.0,2.0,6.0,8.0,7.0
1915.0,-0.14,-0.3,1961.02.01,317.28,2014.0,5.22,10036.0,Male,3.0,3.0,2.0,5.0,6.0
1916.0,-0.36,-0.29,1961.03.01,317.47,2015.0,4.62,10037.0,Female,2.0,3.0,4.0,8.0,6.0
1917.0,-0.46,-0.29,1961.04.01,317.27,2016.0,4.53,10038.0,Female,2.0,5.0,8.0,2.0,8.0
1918.0,-0.29,-0.3,1961.05.01,317.7,2017.0,4.82,10039.0,Male,4.0,1.0,10.0,10.0,6.0
1919.0,-0.27,-0.29,1961.06.01,317.48,2018.0,4.79,10040.0,Female,5.0,3.0,6.0,7.0,9.0
1920.0,-0.27,-0.27,1961.07.01,317.7,2019.0,4.32,10041.0,Female,4.0,2.0,8.0,4.0,7.0
1921.0,-0.19,-0.26,1961.08.01,317.8,,,10042.0,Female,4.0,3.0,8.0,3.0,5.0
1922.0,-0.28,-0.25,1961.09.01,317.49,,,10043.0,Female,2.0,3.0,8.0,10.0,9.0
1923.0,-0.26,-0.24,1961.10.01,318.35,,,10044.0,Male,3.0,2.0,1.0,10.0,7.0
1924.0,-0.27,-0.23,1961.11.01,318.13,,,10045.0,Female,2.0,3.0,10.0,4.0,8.0
1925.0,-0.22,-0.22,1961.12.01,317.94,,,10046.0,Female,3.0,5.0,2.0,10.0,5.0
1926.0,-0.1,-0.22,1962.01.01,318.06,,,10047.0,Female,5.0,3.0,10.0,6.0,6.0
1927.0,-0.22,-0.21,1962.02.01,318.11,,,10048.0,Female,4.0,2.0,10.0,8.0,8.0
1928.0,-0.2,-0.2,1962.03.01,318.57,,,10049.0,Female,3.0,2.0,10.0,10.0,7.0
1929.0,-0.36,-0.19,1962.04.01,318.45,,,10050.0,Female,2.0,3.0,10.0,10.0,8.0
